strata,description,land size,year,land,building,total value
11,residential,10544,1967,1217000,148000,1365000
11,residential,9166,1973,1100000,211000,1311000
11,residential,11790,1972,1050000,96700,1146700
11,residential,0.968 acres,1968,1389000,426000,1815000
11,residential,17976,2014,991000,793000,1784000
11,residential,1.077 Acres,1954,1153000,36200,1189200
11,residential,4483,1989,769000,196000,965000
11,residential,8287,1976,949000,151000,1100000
11,residential,12122,1955,1082000,76500,1158500
11,residential,5171,1981,903000,286000,1189000
11,residential,5156,1996,806000,410000,1216000
11,residential,10433,1925,1032000,69400,1101400
11,,4854,,197000,0,197000
11,townhouse,1100,,675800,0,675800
11,townhouse,1172,,703100,0,703100
11,residential,4633,1977,778000,128000,906000
11,residential,5205,1977,809000,126000,935000
11,residential,4486,1979,769000,112000,1544476
11,residential,4004,1980,737000,178000,915000
11,residential,4789,1980,786000,163000,949000
11,residential,7893,1986,933000,209000,1142000
11,residential,5707,1925,776000,87900,863900
11,residential,13854,1982,1099000,170000,1269000
11,residential,5974,2005,949000,655000,1604000
11,residential,19908,1968,1091000,101000,1192000
11,residential,7577,2004,1030000,729000,1759000
11,residential,3627,1976,716000,111000,827000
11,residential,4052,1979,714000,135000,849000
11,residential,7231,1991,1137000,13800,1150800
11,residential,3630,2011,716000,375000,1091000
11,residential,2740,1990,651000,245000,896000
11,residential,3626,1983,716000,200000,916000
11,residential,5155,1991,806000,230000,1036000
11,residential,8413,1965,213000,71200,284200
11,residential,9785,1975,2721000,230000,2951000
11,residential,6119,1987,854000,203000,1057000
11,residential,3560,1979,711000,153000,864000
11,residential,6016,1980,849000,135000,984000
11,residential,4510,1977,771000,87900,858900
11,residential,5029,1980,798000,120000,918000
12,townhouse,2004,1991,944000,0,944000
12,townhouse,2151,1991,1161000,0,1161000
12,residential,16795,1995,1166000,433000,1599000
12,residential,7668,1992,947000,451000,1398000
12,residential,7441,1992,937000,348000,1285000
12,residential,9628,1992,1024000,289000,1313000
12,residential,5986,1991,868000,286000,1154000
12,residential,4475,1999,906000,390000,1296000
12,residential,5959,1999,997000,413000,1410000
12,residential,4730,2000,922000,467000,1389000
12,residential,6900,1999,1068000,442000,1510000
12,residential,7625,1999,1106000,584000,1690000
12,residential,5960,1999,997000,469000,1466000
12,residential,5970,1999,1015000,453000,1468000
12,townhouse,1556,2000,850000,0,850000
12,residential,7423,1996,1077000,491000,1568000
